milliseconds, deg_Centigrade, pascals, meters
528055,26,101566,-1
528652,26,101567,-1
529249,26,101564,0
529845,26,101564,-1
530442,26,101565,-1
531039,26,101570,0
531635,26,101569,0
532231,26,101568,0
532827,26,101570,-1
533424,26,101570,-1
534021,26,101569,-1
534618,26,101570,-1
535215,26,101561,-1
535812,26,101573,-1
536409,26,101571,-1
537006,26,101566,0
537602,26,101570,-1
538199,26,101567,-1
538796,26,101568,-1
539393,26,101564,0
539988,26,101567,-1
540585,26,101569,0
541181,26,101570,-1
541778,26,101569,-1
542375,26,101572,-1
542972,26,101566,-1
543569,26,101570,-1
544166,26,101569,-1
544763,26,101576,0
545359,26,101562,0
545955,26,101563,-1
546552,26,101564,0
547148,26,101571,-1
547745,26,101564,0
548341,26,101566,-1
548938,26,101570,-1
549535,26,101564,0
550131,26,101565,0
550727,26,101566,-1
551324,26,101565,-1
551921,26,101570,0
552517,26,101562,0
553113,26,101569,0
553709,26,101563,0
554305,26,101568,0
554901,26,101563,0
555497,26,101566,-1
556094,26,101563,-1
556691,26,101570,-1
557288,26,101569,-1
557885,26,101567,-1
558482,26,101568,-1
559079,26,101566,-1
559676,26,101565,0
560272,26,101568,0
560868,26,101567,-1
561465,26,101565,0
562061,26,101568,-1
562658,26,101566,-1
563255,26,101565,-1
563852,26,101561,0
564448,26,101560,0
565044,26,101567,-1
565641,26,101565,0
566237,26,101572,-1
566834,26,101566,-1
567431,26,101567,-1
568028,26,101568,0
568624,26,101572,0
569220,26,101567,-1
569817,26,101563,0
570413,26,101566,-1
571010,26,101569,-1
571607,26,101563,0
572203,26,101570,-1
572800,26,101566,-1
573396,26,101567,-1
573993,26,101568,-1
574590,26,101569,-1
575187,26,101570,-1
575784,26,101569,0
576380,26,101572,-1
576977,26,101572,-1
577574,26,101572,-1
578171,26,101572,-1
578768,26,101572,-1
579365,26,101574,-1
579962,26,101567,-1
580559,26,101574,-1
581156,26,101575,0
581752,26,101566,-1
582349,26,101574,-1
582946,26,101576,-1
583543,26,101567,-1
584140,26,101570,-1
584737,26,101575,-1
585334,26,101566,0
585930,26,101564,0
586526,26,101561,0
587122,26,101565,-1
587719,26,101568,-1
588316,26,101572,-1
588913,26,101575,-1
589510,26,101574,-1
590107,26,101571,-1
590704,26,101572,-1
591301,26,101569,-1
591898,26,101574,-1
592495,26,101565,-1
593092,26,101572,-1
593689,26,101572,0
594285,26,101571,-1
594882,26,101570,-1
595479,26,101565,-1
596076,26,101569,-1
596673,26,101569,-1
597270,26,101567,-1
597867,26,101572,-1
598464,26,101574,0
599060,26,101576,-1
599657,26,101570,-1
600254,26,101573,-1
600851,26,101569,0
601447,26,101573,-1
602044,26,101575,-1
602641,26,101569,-1
603238,26,101570,-1
603835,26,101573,-1
604432,26,101571,-1
605029,26,101566,-1
605626,26,101565,-1
606223,26,101569,-1
606820,26,101568,-1
607417,26,101575,-1
608014,26,101562,0
608610,26,101567,-1
609207,26,101576,-1
609804,26,101567,-1
610401,26,101571,-1
610998,26,101575,-1
611595,26,101576,-1
612192,26,101572,-1
612789,26,101570,-1
613386,26,101572,-1
613983,26,101573,-1
614580,26,101572,-1
615177,26,101572,-1
615774,26,101572,-1
616371,26,101574,-1
616968,26,101578,-1
617565,26,101571,-1
618162,26,101570,-1
618759,26,101575,-1
619356,26,101571,-1
619953,26,101569,-1
620550,26,101573,-1
621147,26,101575,-1
621744,26,101577,-1
622341,26,101574,-1
622938,26,101572,-1
623535,26,101573,-1
624132,26,101570,-1
624729,26,101572,-1
625326,26,101568,-1
625923,26,101567,-1
626520,26,101575,-1
627117,26,101572,-1
627714,26,101573,-1
628311,26,101571,-1
628908,26,101575,-2
629505,26,101574,-1
630102,26,101571,0
630697,26,101572,-1
631294,26,101577,-1
631891,26,101571,-1
632488,26,101571,-1
633085,26,101576,-1
633682,26,101569,-1
634279,26,101569,-1
634876,26,101573,-1
635473,26,101572,-1
636070,26,101571,-1
636667,26,101575,-1
637264,26,101574,-1
637861,26,101575,-1
638458,26,101575,-1
639055,26,101573,-1
639652,26,101571,-1
640249,26,101569,0
640845,26,101571,-1
641442,26,101571,0
642038,26,101575,-1
642635,26,101575,-1
643232,26,101576,-1
643829,26,101574,-1
644426,26,101570,-1
645023,26,101574,-1
645620,26,101573,-1
646217,26,101575,-1
646814,26,101577,-1
647411,26,101563,-1
648008,26,101573,-1
648605,26,101570,-1
649202,26,101571,-1
649799,26,101567,-1
650396,26,101575,-1
650993,26,101566,-1
651590,26,101572,-1
652187,26,101577,-1
652784,26,101576,-1
653381,26,101569,-1
653978,26,101571,-1
654575,26,101574,0
655171,26,101569,0
655767,26,101572,-1
656364,26,101570,-1
656961,26,101569,-1
657558,26,101578,-1
658155,26,101571,-1
658752,26,101571,0
659348,26,101570,-1
659945,26,101569,-1
660542,26,101575,-1
661139,26,101571,-1
661736,26,101568,-1
662333,26,101573,-1
662930,26,101570,-1
663527,26,101575,-1
664124,26,101575,-1
664721,26,101575,-1
665318,26,101575,-1
665915,26,101574,-1
666512,26,101574,-1
667109,26,101573,-1
667706,26,101575,-1
668303,26,101576,-1
668900,26,101576,-1
669497,26,101575,-1
670094,26,101575,-1
670691,26,101575,-1
671288,26,101577,-1
671885,26,101574,-1
672482,26,101576,-1
673079,26,101581,-1
673676,26,101574,-1
674273,26,101571,-1
674870,26,101579,-1
675467,26,101573,-1
676064,26,101576,-2
676661,26,101575,-1
677258,26,101572,-1
677855,26,101575,-1
678452,26,101575,-1
679049,26,101572,-1
679647,26,101575,-1
680244,26,101575,-1
680841,26,101571,-1
681438,26,101578,-1
682035,26,101573,-1
682632,26,101575,-1
683229,26,101569,-1
683826,26,101574,-1
684423,26,101577,-1
685020,26,101568,-1
685617,26,101569,-1
686214,26,101575,-1
686811,26,101571,-1
687408,26,101580,-1
688005,26,101579,-1
688602,26,101577,-1
689199,26,101568,-1
689796,26,101573,-1
690393,26,101570,-1
690990,26,101573,-1
691587,26,101575,-1
692184,26,101572,-1
692781,26,101574,-1
693378,26,101575,-1
693975,26,101573,-1
694572,26,101575,-1
695169,26,101569,-1
695766,26,101576,-1
696363,26,101567,-1
696960,26,101573,-1
697556,26,101578,-1
698153,26,101567,-1
698750,26,101577,-1
699347,26,101575,-1
699944,26,101573,-1
700541,26,101573,0
701137,26,101571,-1
701734,26,101572,-1
702331,26,101578,-1
702928,26,101575,-1
703525,26,101577,-1
704122,26,101574,-1
704719,26,101569,-1
705316,26,101573,-1
705913,26,101577,-1
706510,26,101576,-1
707107,26,101572,-1
707704,26,101571,-1
708301,26,101571,-1
708898,26,101577,-1
709495,26,101577,-1
710092,26,101570,-1
710689,26,101573,-1
711286,26,101574,-1
711883,26,101570,-1
712480,26,101571,-1
713077,26,101571,-1
713674,26,101573,-1
714271,26,101569,-1
714868,26,101574,-1
715465,26,101570,-1
716062,26,101575,-1
716659,26,101574,-1
717256,26,101573,-1
717853,26,101568,-1
718450,26,101568,-1
719047,26,101567,-1
719644,26,101566,0
720240,26,101573,-1
720837,26,101571,0
721433,26,101566,-1
722030,26,101573,0
722626,26,101569,-1
723223,26,101569,-1
723820,26,101571,-1
724417,26,101572,-1
725014,26,101568,0
725610,26,101570,0
726206,26,101563,0
726802,26,101568,0
727398,26,101573,-1
727995,26,101566,-1
728592,26,101573,-1
729189,26,101570,-1
729786,26,101570,-1
730383,26,101568,0
730979,26,101575,-1
731576,26,101570,-1
732173,26,101572,-1
732770,26,101570,-1
733367,26,101568,-1
733964,26,101571,-1
734561,26,101570,-1
735158,26,101573,-1
735755,26,101568,-1
736352,26,101571,-2
736949,26,101569,-1
737546,26,101579,-1
738143,26,101575,-1
738740,26,101573,-1
739337,26,101572,-1
739934,26,101571,-1
740531,26,101570,0
741127,26,101570,-1
741724,26,101571,-1
742321,26,101574,-1
742918,26,101575,-1
743515,26,101575,-1
744112,26,101577,-1
744709,26,101573,-1
745306,26,101572,-1
745903,26,101571,-1
746500,26,101570,-1
747097,26,101573,-1
747694,26,101575,-1
748291,26,101571,-1
748888,26,101573,-1
749485,26,101567,-1
750082,26,101570,-1
750679,26,101576,-1
751276,26,101579,-1
751873,26,101579,-1
752470,26,101576,-1
753067,26,101576,-1
753664,26,101573,-1
754260,26,101568,-1
754857,26,101576,-1
755454,26,101571,-1
756051,26,101577,-1
756648,26,101575,-1
757245,26,101576,-1
757842,26,101577,-1
758439,26,101581,-1
759036,26,101568,-1
759633,26,101572,-1
760230,26,101571,0
760826,26,101576,-1
761423,26,101579,-1
762020,26,101577,-1
762617,26,101574,-1
763214,26,101575,-1
763811,26,101576,-1
764408,26,101571,-1
765005,26,101579,-1
765602,26,101569,-1
766199,26,101571,-1
766796,26,101573,-1
767393,26,101573,-1
767990,26,101572,-1
768587,26,101571,-1
769184,26,101572,0
769780,26,101575,-1
770377,26,101575,-1
770974,26,101569,-1
771571,26,101571,-1
772168,26,101574,-1
772765,26,101567,-1
773362,26,101568,-1
773959,26,101576,-1
774556,26,101571,-1
775153,26,101577,-1
775750,26,101576,-1
776347,26,101569,-1
776944,26,101565,-1
777541,26,101574,-1
778138,26,101574,-1
778735,26,101574,-1
779332,26,101569,-1
779929,26,101575,-1
780526,26,101571,-1
781123,26,101566,-1
781720,26,101569,-1
782317,26,101570,-1
782914,26,101573,-1
783511,26,101570,-1
784108,26,101568,-1
784705,26,101567,-1
785302,26,101572,-1
785899,26,101570,-1
786496,26,101569,0
787092,26,101572,-1
787689,26,101573,-1
788286,26,101568,-1
788883,26,101571,-1
789480,26,101565,0
790076,26,101572,-1
790673,26,101575,-1
791270,26,101567,0
791866,26,101572,-1
792463,26,101570,-1
793060,26,101573,-1
793657,26,101568,-1
794254,26,101573,-1
794851,26,101572,-1
795448,26,101567,-1
796045,26,101570,-1
796642,26,101572,-1
797239,26,101579,-1
797836,26,101573,-1
798433,26,101572,-1
799030,26,101574,-1
